HOME_TEAM_NAME,AWAY_TEAM_NAME,YEAR,FG_PCT_DIFF,FG3_PCT_DIFF,FT_PCT_DIFF,REB_DIFF,AST_DIFF,STL_DIFF,BLK_DIFF,TO_DIFF,PF_DIFF,PTS_DIFF,HOME_TEAM_WIN
Atlanta Hawks,Boston Celtics,2003,0.077,0.052,-0.11,16,4,-3,2,7,-1,5,1
Atlanta Hawks,Boston Celtics,2003,0.008,-0.027,0.35,8,3,0,-3,-2,6,11,1
Atlanta Hawks,Boston Celtics,2004,-0.076,0.246,0.05,0,-11,2,-7,-4,-9,4,1
Atlanta Hawks,Boston Celtics,2004,-0.183,-0.164,0.07,5,-10,2,-8,0,0,-16,0
Atlanta Hawks,Boston Celtics,2005,0.008,0.171,-0.01,13,1,-2,-2,1,-7,3,1
Atlanta Hawks,Boston Celtics,2005,-0.071,0.072,0.16,1,2,1,2,-1,7,-4,0
Atlanta Hawks,Boston Celtics,2006,0.041,-0.256,-0.07,1,7,4,3,-4,-5,4,1
Atlanta Hawks,Boston Celtics,2006,0.141,0,-0.01,12,3,-1,3,6,-5,8,1
Atlanta Hawks,Boston Celtics,2007,-0.04,-0.195,-0.27,2,3,-1,-1,2,1,-10,0
Atlanta Hawks,Boston Celtics,2007,0.03,0.203,-0.18,8,4,-1,2,1,-3,9,1
Atlanta Hawks,Boston Celtics,2007,0.066,-0.3,0.32,1,-10,-7,5,7,-2,5,1
Atlanta Hawks,Boston Celtics,2007,0.015,-0.068,-0.03,3,0,-1,1,3,-10,3,1
Atlanta Hawks,Boston Celtics,2008,-0.075,0.138,-0.08,-4,4,-3,-1,1,-2,-3,0
Atlanta Hawks,Boston Celtics,2008,-0.052,-0.117,-0.03,-1,-8,-1,3,-1,-8,-6,0
Atlanta Hawks,Boston Celtics,2009,0.086,0.125,-0.01,3,3,-1,-1,1,7,8,1
Atlanta Hawks,Boston Celtics,2009,0.055,0.15,-0.13,4,-3,4,-1,-2,3,9,1
Atlanta Hawks,Boston Celtics,2010,-0.187,-0.08,0.04,-20,-5,-1,-5,-3,-1,-23,0
Atlanta Hawks,Boston Celtics,2010,-0.079,-0.25,0.32,14,-8,-3,-4,4,-5,5,1
Atlanta Hawks,Boston Celtics,2011,-0.005,-0.042,-0.2,5,-6,-4,-4,1,-4,-3,0
Atlanta Hawks,Boston Celtics,2011,0.033,0.112,0.18,8,6,-5,6,7,-9,5,1
Atlanta Hawks,Boston Celtics,2011,0.018,0.35,-0.1,9,-5,-6,-2,7,-6,9,1
Atlanta Hawks,Boston Celtics,2011,-0.077,0.059,-0.04,-5,0,1,-1,-3,2,-7,0
Atlanta Hawks,Boston Celtics,2011,0.024,0.009,0.06,8,-3,-5,3,4,6,1,1
Atlanta Hawks,Boston Celtics,2012,-0.047,0.157,0.12,-8,-9,-3,0,6,4,-8,0
Atlanta Hawks,Boston Celtics,2012,-0.005,-0.035,-0.25,1,3,2,5,-9,-9,12,1
Atlanta Hawks,Boston Celtics,2013,-0.071,0,0.06,-9,5,5,-4,-9,12,-7,0
Atlanta Hawks,Boston Celtics,2013,0.086,-0.071,-0.06,4,5,0,2,0,-8,8,1
