GAME_DATE_EST,GAME_ID,HOME_TEAM,VISITOR_TEAM,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
11/17/2021,22100213,Charlotte Hornets,Washington Wizards,2021,97,0.438,0.5,0.313,30,59,87,0.367,0.813,0.19,23,48,1
11/17/2021,22100214,Detroit Pistons,Indiana Pacers,2021,97,0.425,0.75,0.286,16,42,89,0.418,0.737,0.243,14,43,1
11/17/2021,22100215,Atlanta Hawks,Boston Celtics,2021,110,0.506,0.833,0.351,28,40,99,0.44,0.824,0.268,24,42,1
11/17/2021,22100216,Brooklyn Nets,Cleveland Cavaliers,2021,109,0.458,0.84,0.375,29,47,99,0.393,0.857,0.25,20,50,1
11/17/2021,22100217,Miami Heat,New Orleans Pelicans,2021,113,0.483,0.824,0.375,29,39,98,0.44,0.786,0.286,18,38,1
11/17/2021,22100218,New York Knicks,Orlando Magic,2021,98,0.42,0.667,0.327,25,45,104,0.406,0.833,0.289,20,51,0
11/17/2021,22100219,Milwaukee Bucks,Los Angeles Lakers,2021,109,0.46,0.708,0.324,22,52,102,0.417,0.833,0.279,24,48,1
11/17/2021,22100220,Minnesota Timberwolves,Sacramento Kings,2021,107,0.5,0.833,0.278,20,35,97,0.366,0.76,0.263,19,47,1
11/17/2021,22100221,Oklahoma City Thunder,Houston Rockets,2021,101,0.446,0.563,0.256,18,56,89,0.356,0.684,0.286,16,46,1
11/17/2021,22100222,Phoenix Suns,Dallas Mavericks,2021,105,0.441,0.714,0.333,27,49,98,0.413,1,0.5,28,50,1
11/17/2021,22100223,Portland Trail Blazers,Chicago Bulls,2021,112,0.44,0.964,0.355,26,44,107,0.47,0.8,0.448,23,36,1
11/16/2021,22100210,Brooklyn Nets,Golden State Warriors,2021,99,0.386,0.778,0.278,21,38,117,0.519,0.786,0.325,25,53,0
11/16/2021,22100211,Utah Jazz,Philadelphia 76ers,2021,120,0.517,0.632,0.421,27,56,85,0.367,0.765,0.207,19,42,1
11/16/2021,22100212,Los Angeles Clippers,San Antonio Spurs,2021,106,0.435,0.909,0.316,16,52,92,0.432,0.714,0.227,26,41,1
11/15/2021,22100199,Cleveland Cavaliers,Boston Celtics,2021,92,0.386,0.75,0.4,18,42,98,0.462,0.8,0.345,23,46,0
11/15/2021,22100200,Detroit Pistons,Sacramento Kings,2021,107,0.406,0.941,0.277,23,47,129,0.531,0.818,0.485,32,47,0
11/15/2021,22100201,Washington Wizards,New Orleans Pelicans,2021,105,0.464,0.68,0.357,23,42,100,0.405,0.853,0.524,20,45,1
11/15/2021,22100202,Atlanta Hawks,Orlando Magic,2021,129,0.553,0.656,0.467,32,46,111,0.453,0.643,0.372,30,41,1
11/15/2021,22100203,New York Knicks,Indiana Pacers,2021,92,0.43,0.7,0.324,22,46,84,0.372,0.75,0.216,16,44,1
11/15/2021,22100204,Dallas Mavericks,Denver Nuggets,2021,111,0.5,0.7,0.389,30,44,101,0.476,0.706,0.281,20,46,1
11/15/2021,22100205,Memphis Grizzlies,Houston Rockets,2021,136,0.542,0.8,0.39,33,49,102,0.379,0.731,0.289,24,46,1
11/15/2021,22100206,Minnesota Timberwolves,Phoenix Suns,2021,96,0.365,0.778,0.295,18,54,99,0.376,0.778,0.226,21,52,0
11/15/2021,22100207,Oklahoma City Thunder,Miami Heat,2021,90,0.41,0.7,0.366,26,42,103,0.451,0.846,0.45,22,45,0
11/15/2021,22100208,Portland Trail Blazers,Toronto Raptors,2021,118,0.561,0.714,0.444,25,39,113,0.461,0.889,0.455,20,39,1
11/15/2021,22100209,Los Angeles Lakers,Chicago Bulls,2021,103,0.456,0.806,0.188,19,43,121,0.551,0.727,0.441,31,36,0
11/14/2021,22100192,Los Angeles Lakers,San Antonio Spurs,2021,114,0.518,0.765,0.484,28,46,106,0.444,0.667,0.444,28,43,1
11/14/2021,22100193,Atlanta Hawks,Milwaukee Bucks,2021,120,0.485,0.846,0.429,21,51,100,0.452,0.625,0.341,24,30,1
11/14/2021,22100194,Charlotte Hornets,Golden State Warriors,2021,106,0.477,0.667,0.389,23,39,102,0.422,0.68,0.231,31,49,1
11/14/2021,22100195,Houston Rockets,Phoenix Suns,2021,89,0.412,0.667,0.219,19,48,115,0.433,0.85,0.35,19,52,0
11/14/2021,22100196,Oklahoma City Thunder,Brooklyn Nets,2021,96,0.4,0.909,0.311,20,44,120,0.5,0.952,0.419,31,44,0
11/14/2021,22100197,Denver Nuggets,Portland Trail Blazers,2021,124,0.522,0.786,0.475,29,49,95,0.438,0.923,0.333,22,36,1
11/14/2021,22100198,Los Angeles Clippers,Chicago Bulls,2021,90,0.358,1,0.324,16,44,100,0.442,0.929,0.379,19,45,0
11/13/2021,22100185,Utah Jazz,Miami Heat,2021,105,0.412,0.72,0.321,23,38,111,0.494,0.875,0.394,23,48,0
11/13/2021,22100186,Indiana Pacers,Philadelphia 76ers,2021,118,0.573,0.667,0.5,33,37,113,0.427,0.862,0.522,16,46,1
11/13/2021,22100187,Orlando Magic,Washington Wizards,2021,92,0.337,0.85,0.325,21,44,104,0.5,0.8,0.343,29,48,0
11/13/2021,22100188,New Orleans Pelicans,Memphis Grizzlies,2021,112,0.481,0.88,0.483,29,37,101,0.432,0.81,0.333,21,39,1
11/13/2021,22100189,Toronto Raptors,Detroit Pistons,2021,121,0.506,0.645,0.382,21,39,127,0.544,0.867,0.429,34,34,0
11/13/2021,22100190,Cleveland Cavaliers,Boston Celtics,2021,91,0.383,0.864,0.263,17,39,89,0.423,0.944,0.261,20,47,1
11/13/2021,22100191,Los Angeles Clippers,Minnesota Timberwolves,2021,129,0.535,0.778,0.4,35,57,102,0.392,0.688,0.306,25,41,1
11/12/2021,22100174,Charlotte Hornets,New York Knicks,2021,104,0.433,0.667,0.278,25,49,96,0.387,0.611,0.371,17,51,1
11/12/2021,22100175,Boston Celtics,Milwaukee Bucks,2021,122,0.49,0.889,0.293,22,53,113,0.449,0.818,0.34,23,39,1
11/12/2021,22100176,Cleveland Cavaliers,Detroit Pistons,2021,98,0.476,0.667,0.341,27,40,78,0.367,0.846,0.3,18,43,1
11/12/2021,22100177,Houston Rockets,Portland Trail Blazers,2021,92,0.4,0.63,0.219,13,49,104,0.391,0.806,0.306,21,52,0
11/12/2021,22100178,Memphis Grizzlies,Phoenix Suns,2021,94,0.378,0.565,0.212,19,59,119,0.489,1,0.486,28,46,0
11/12/2021,22100179,New Orleans Pelicans,Brooklyn Nets,2021,112,0.489,0.813,0.406,26,43,120,0.5,0.741,0.529,27,34,0
